Country,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
China,11.27,11.37,11.47,11.6,11.68,11.8,11.82,11.92,12.12,12.28,12.43,12.41,12.44,12.54,12.63,12.73,12.76,12.89,13.2,13.37,13.21,13.33,13.66,14.17,13.98,14.48,14.84,15.08,15.25,15.43,15.76,16.22,16.63,17.41,18.36,19.14,20.45,22.72,25.85,27.85,31.13,35.7,38.45,41.54,43.96,44.47,44.68,47.98,52.86,53.54,54.53,63.11
France,9.25,9.35,9.57,9.94,10.08,10.47,10.56,10.77,11.3,11.94,12.47,11.91,11.71,11.5,11.31,11.44,12.67,13.59,14.08,14.12,15.47,15.41,16.05,15.49,15.87,16.98,16.96,16.12,16.44,16.42,15.73,15.77,16.28,18.07,19.53,19.97,20.65,22.45,23.77,22.26,22.02,23.26,22.2,22.79,22.99,20.84,20.97,21.65,22.67,22.36,21.78,23.61
Germany,9.53,9.69,9.93,10.41,10.6,10.79,10.96,11.34,12.04,12.78,13.12,12.3,12.15,12.15,11.93,11.95,13.45,14.61,15.14,15.15,16.94,17.39,18.53,18.07,18.67,20.4,19.9,18.57,18.72,18.5,17.39,17.28,17.65,19.55,21.03,21.18,22.04,24.03,25.37,23.57,23.79,25.6,24.35,25.28,25.91,23.46,23.98,25.05,26.52,26.1,25.98,27.84
India,10.23,10.28,10.33,10.41,10.49,10.54,10.59,10.68,10.78,10.87,10.98,11.06,11.13,11.22,11.28,11.37,11.47,11.6,11.74,11.8,11.95,11.88,11.96,12.0,12.18,12.36,12.45,12.61,12.65,12.83,12.89,12.99,13.11,13.4,13.86,14.25,14.6,15.39,15.65,15.86,16.88,17.42,17.36,17.25,17.62,17.78,17.98,18.83,19.35,19.36,18.79,20.34
Israel,8.6,8.61,8.73,8.88,9.11,9.07,9.09,9.16,9.12,9.38,9.51,9.58,9.67,9.81,9.63,9.5,9.8,10.1,10.49,10.43,10.8,11.14,11.4,11.34,11.68,12.2,12.46,12.52,12.48,12.4,12.76,12.72,12.32,12.44,12.68,12.94,13.26,14.01,14.99,14.57,15.31,16.07,15.74,16.68,17.14,16.65,17.03,17.91,18.3,18.72,18.75,20.45
Japan,9.52,9.61,9.96,10.51,10.7,10.77,11.03,11.56,12.78,13.01,13.22,13.63,13.23,13.61,13.92,14.24,16.95,18.84,21.23,21.18,21.56,23.36,24.41,26.32,28.2,30.58,28.32,26.45,24.62,26.5,27.82,25.35,24.32,25.57,26.97,26.87,26.05,25.97,27.93,27.95,29.73,31.62,31.87,28.06,27.08,25.43,27.4,27.24,27.79,28.15,27.79,27.44
Russian Federation,,,,,,,,,,,,,,,,,,,,,10.8,10.89,12.4,16.83,18.25,20.03,9.98,10.0,9.48,9.25,9.47,9.66,9.76,10.03,10.58,11.14,11.89,13.06,14.36,12.57,13.73,15.42,16.0,16.18,15.32,13.1,12.86,13.89,14.05,14.21,13.59,14.52
USSR (Former),10.46,10.53,10.7,11.08,11.06,11.25,11.26,11.41,11.74,11.88,11.96,11.84,12.1,12.17,12.01,11.91,14.03,15.56,16.66,17.08,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,9.17,9.27,9.4,9.57,9.68,9.88,9.84,10.02,10.47,11.1,11.8,11.59,11.44,11.31,11.15,11.29,11.96,12.8,13.84,13.89,14.72,14.86,15.1,14.4,14.97,15.58,15.98,16.74,17.35,17.43,17.33,17.2,17.95,19.32,21.16,21.77,22.48,24.35,23.31,20.46,20.93,21.72,21.73,22.05,23.46,22.7,21.5,21.51,22.37,22.35,21.25,23.51
United States,12.09,12.36,12.73,13.21,13.53,13.78,14.46,15.21,16.1,16.93,17.45,18.62,18.79,19.56,21.12,21.81,22.34,23.2,24.22,25.13,25.76,25.93,26.78,27.69,29.01,30.03,31.23,32.75,34.15,35.81,37.65,37.87,38.45,39.8,42.15,44.66,46.9,47.99,47.89,45.21,47.28,48.94,51.02,52.59,54.64,56.27,56.7,58.87,61.82,63.81,62.58,68.3
