Country,Year,GDP,GNI_USD,Exports,Imports,AMA_exchange_rate,IMF_exchange_rate,Per_capita_GNI,Population,Household_consumption,Manufacturing,Construction,Government_expenditure,Gross_capital_formation,Trade_balance
China,1970.0,0.0,0.0,31045205347.0,10906611779.0,2.461809455,2.461809455,113.0,822534450.0,33970947600.0,92598555721.0,10128794345.0,49020853239.0,2611804785.0,20138593568.0
China,1971.0,0.0,0.0,34244292259.0,11828697765.0,2.461809455,2.461809455,118.0,843285424.0,38033000404.0,99800575343.0,11795226237.0,51263106387.0,2633690231.0,22415594494.0
China,1972.0,0.0,0.0,36286490138.0,13024110450.0,2.245066956,2.245066956,132.0,862840403.0,44546555611.0,114000000000.0,13631353147.0,59428071689.0,3516407388.0,23262379688.0
China,1973.0,0.0,0.0,46572203218.0,15135095119.0,1.989415974,1.989415974,157.0,881652080.0,54433060460.0,139000000000.0,15878272479.0,72006056985.0,6156095851.0,31437108099.0
China,1974.0,0.0,0.0,48917499286.0,16168672250.0,1.961199999,1.961199999,160.0,899367640.0,55802569884.0,144000000000.0,17344763350.0,74801142196.0,8703400020.0,32748827036.0
China,1975.0,0.0,0.0,58548926083.0,18130981836.0,1.859799999,1.859799999,179.0,915124661.0,67566405026.0,163000000000.0,19096392356.0,82186256631.0,8991203220.0,40417944247.0
China,1976.0,0.0,0.0,52352824597.0,18110641814.0,1.941399999,1.941399999,166.0,929375924.0,62676419111.0,154000000000.0,19476353152.0,81822396251.0,7705239021.0,34242182783.0
China,1977.0,0.0,0.0,60602879976.0,20421742879.0,1.857823802,1.857823802,186.0,942581333.0,74549588529.0,175000000000.0,21900182153.0,88695171104.0,8286219462.0,40181137097.0
China,1978.0,0.0,0.0,83906513179.0,25059396546.0,1.683599999,1.683599999,229.0,955138943.0,96311475467.0,219000000000.0,28141123311.0,104000000000.0,12366658285.0,58847116633.0
China,1979.0,0.0,0.0,97743755074.0,29620578797.0,1.554999999,1.554999999,272.0,968298969.0,115000000000.0,264000000000.0,36288844057.0,130000000000.0,17272648463.0,68123176277.0
China,1980.0,0.0,0.0,108000000000.0,36725840921.0,1.498399999,1.498399999,312.0,982372466.0,134000000000.0,306000000000.0,42042941429.0,156000000000.0,22234238389.0,71274159079.0
China,1981.0,0.0,0.0,97553962172.0,34889314786.0,1.704533333,1.704533333,290.0,997259502.0,121000000000.0,290000000000.0,38121265119.0,154000000000.0,24282331574.0,62664647386.0
China,1982.0,0.0,0.0,92976535656.0,37552673890.0,1.892541666,1.892541666,281.0,1013483166.0,115000000000.0,284000000000.0,37434863193.0,151000000000.0,20624654175.0,55423861766.0
China,1983.0,0.0,0.0,99627439122.0,41793311164.0,1.975674999,1.975674999,297.0,1029226907.0,121000000000.0,305000000000.0,42448477141.0,163000000000.0,22141892417.0,57834127958.0
