Country,Year,Political_Dynamics_Index2,Economic_Activity,Exports,Imports,Per_capita_GNI,Government_expenditure
China,1970.0,0.18,41951817126.0,31045205347.0,10906611779.0,113.0,49020853239.0
China,1971.0,0.2,46072990024.0,34244292259.0,11828697765.0,118.0,51263106387.0
China,1972.0,0.23,49310600588.0,36286490138.0,13024110450.0,132.0,59428071689.0
China,1973.0,0.29,61707298337.0,46572203218.0,15135095119.0,157.0,72006056985.0
China,1974.0,0.31,65086171536.0,48917499286.0,16168672250.0,160.0,74801142196.0
China,1975.0,0.37,76679907919.0,58548926083.0,18130981836.0,179.0,82186256631.0
China,1976.0,0.33,70463466411.0,52352824597.0,18110641814.0,166.0,81822396251.0
China,1977.0,0.39,81024622855.0,60602879976.0,20421742879.0,186.0,88695171104.0
China,1978.0,0.53,108965909725.0,83906513179.0,25059396546.0,229.0,104000000000.0
China,1979.0,0.63,127364333871.0,97743755074.0,29620578797.0,272.0,130000000000.0
China,1980.0,0.72,144725840921.0,108000000000.0,36725840921.0,312.0,156000000000.0
China,1981.0,0.66,132443276958.0,97553962172.0,34889314786.0,290.0,154000000000.0
China,1982.0,0.65,130529209546.0,92976535656.0,37552673890.0,281.0,151000000000.0
China,1983.0,0.7,141420750286.0,99627439122.0,41793311164.0,297.0,163000000000.0
China,1984.0,0.76,154387133860.0,110000000000.0,44387133860.0,302.0,159000000000.0
China,1985.0,0.81,167399669126.0,124000000000.0,43399669126.0,293.0,158000000000.0
China,1986.0,0.77,160737712239.0,116000000000.0,44737712239.0,279.0,153000000000.0
China,1987.0,0.84,174375352624.0,125000000000.0,49375352624.0,298.0,162000000000.0
China,1988.0,1.08,224215442895.0,163000000000.0,61215442895.0,365.0,202000000000.0
China,1989.0,1.21,251767985870.0,173000000000.0,78767985870.0,402.0,233000000000.0
China,1990.0,0.99,206129332648.0,137000000000.0,69129332648.0,343.0,197000000000.0
China,1991.0,1.05,219580305163.0,148000000000.0,71580305163.0,354.0,198000000000.0
China,1992.0,1.34,284693783613.0,196000000000.0,88693783613.0,417.0,223000000000.0
China,1993.0,1.82,387000000000.0,274000000000.0,113000000000.0,517.0,272000000000.0
China,1994.0,1.57,335000000000.0,231000000000.0,104000000000.0,467.0,249000000000.0
China,1995.0,2.02,425000000000.0,291000000000.0,134000000000.0,593.0,336000000000.0
China,1996.0,2.34,489000000000.0,331000000000.0,158000000000.0,693.0,405000000000.0
China,1997.0,2.56,537000000000.0,349000000000.0,188000000000.0,768.0,442000000000.0
China,1998.0,2.76,583000000000.0,367000000000.0,216000000000.0,812.0,469000000000.0
China,1999.0,2.95,624000000000.0,383000000000.0,241000000000.0,860.0,506000000000.0
China,2000.0,3.28,696000000000.0,417000000000.0,279000000000.0,947.0,568000000000.0
China,2001.0,3.79,813000000000.0,488000000000.0,325000000000.0,1037.0,613000000000.0
China,2002.0,4.25,916000000000.0,545000000000.0,371000000000.0,1136.0,665000000000.0
China,2003.0,5.05,1097000000000.0,675000000000.0,422000000000.0,1280.0,717000000000.0
China,2004.0,5.87,1261000000000.0,839000000000.0,422000000000.0,1504.0,805000000000.0
China,2005.0,6.62,1425000000000.0,922000000000.0,503000000000.0,1740.0,905000000000.0
China,2006.0,7.95,1719000000000.0,1100000000000.0,619000000000.0,2092.0,1040000000000.0
China,2007.0,10.45,2275000000000.0,1440000000000.0,835000000000.0,2693.0,1290000000000.0
China,2008.0,13.57,2940000000000.0,1940000000000.0,1000000000000.0,3475.0,1620000000000.0
China,2009.0,16.25,3580000000000.0,2310000000000.0,1270000000000.0,3803.0,1800000000000.0
China,2010.0,19.91,4420000000000.0,2830000000000.0,1590000000000.0,4496.0,2090000000000.0
China,2011.0,24.85,5520000000000.0,3520000000000.0,2000000000000.0,5513.0,2640000000000.0
China,2012.0,28.17,6270000000000.0,3940000000000.0,2330000000000.0,6229.0,3020000000000.0
China,2013.0,32.04,7160000000000.0,4440000000000.0,2720000000000.0,6898.0,3430000000000.0
China,2014.0,35.09,7840000000000.0,4800000000000.0,3040000000000.0,7572.0,3850000000000.0
China,2015.0,36.79,8280000000000.0,4780000000000.0,3500000000000.0,7899.0,4180000000000.0
China,2016.0,37.63,8500000000000.0,4790000000000.0,3710000000000.0,7973.0,4340000000000.0
China,2017.0,41.56,9400000000000.0,5300000000000.0,4100000000000.0,8718.0,4740000000000.0
China,2018.0,47.59,10790000000000.0,6090000000000.0,4700000000000.0,9762.0,5350000000000.0
China,2019.0,48.99,11120000000000.0,6180000000000.0,4940000000000.0,10015.0,5600000000000.0
China,2020.0,50.62,11540000000000.0,6370000000000.0,5170000000000.0,10225.0,5610000000000.0
China,2021.0,59.86,13570000000000.0,7600000000000.0,5970000000000.0,12324.0,6800000000000.0
France,1970.0,1.17,91517870014.0,41851553854.0,49666316160.0,2882.0,80559251389.0
France,1971.0,1.3,101710840068.0,45460936874.0,56249903194.0,3196.0,90115631449.0
France,1972.0,1.6,125523406380.0,56269158044.0,69254248336.0,3881.0,110000000000.0
France,1973.0,2.09,165619291951.0,74633716294.0,90985575657.0,4999.0,142000000000.0
France,1974.0,2.27,185141303001.0,83141303001.0,102000000000.0,5356.0,154000000000.0
France,1975.0,2.82,222828087782.0,89828087782.0,133000000000.0,6735.0,197000000000.0
France,1976.0,2.93,237513497092.0,98513497092.0,139000000000.0,6919.0,203000000000.0
France,1977.0,3.22,261000000000.0,105000000000.0,156000000000.0,7584.0,223000000000.0
France,1978.0,3.94,314000000000.0,123000000000.0,191000000000.0,9329.0,274000000000.0
France,1979.0,4.79,384000000000.0,153000000000.0,231000000000.0,11263.0,333000000000.0
France,1980.0,5.51,450000000000.0,181000000000.0,269000000000.0,12833.0,384000000000.0
France,1981.0,4.78,387000000000.0,145000000000.0,242000000000.0,11187.0,346000000000.0
France,1982.0,4.51,369000000000.0,139000000000.0,230000000000.0,10527.0,330000000000.0
France,1983.0,4.25,346000000000.0,122000000000.0,224000000000.0,9958.0,314000000000.0
France,1984.0,4.0,327000000000.0,113000000000.0,214000000000.0,9370.0,298000000000.0
France,1985.0,4.17,341000000000.0,117000000000.0,224000000000.0,9765.0,313000000000.0
France,1986.0,5.86,482000000000.0,168000000000.0,314000000000.0,13625.0,432000000000.0
France,1987.0,7.13,591000000000.0,208000000000.0,383000000000.0,16470.0,530000000000.0
France,1988.0,7.79,658000000000.0,238000000000.0,420000000000.0,17844.0,567000000000.0
France,1989.0,7.85,674000000000.0,249000000000.0,425000000000.0,17815.0,567000000000.0
France,1990.0,9.7,835000000000.0,310000000000.0,525000000000.0,21941.0,701000000000.0
France,1991.0,9.64,832000000000.0,300000000000.0,532000000000.0,21823.0,699000000000.0
France,1992.0,10.57,907000000000.0,308000000000.0,599000000000.0,24021.0,772000000000.0
France,1993.0,9.88,843000000000.0,259000000000.0,584000000000.0,22609.0,732000000000.0
France,1994.0,10.43,901000000000.0,283000000000.0,618000000000.0,23701.0,767000000000.0
France,1995.0,11.96,1036000000000.0,328000000000.0,708000000000.0,27120.0,876000000000.0
France,1996.0,11.98,1036000000000.0,315000000000.0,721000000000.0,27231.0,885000000000.0
France,1997.0,10.81,935000000000.0,283000000000.0,652000000000.0,24623.0,787000000000.0
France,1998.0,11.23,983000000000.0,311000000000.0,672000000000.0,25380.0,811000000000.0
France,1999.0,11.22,991000000000.0,319000000000.0,672000000000.0,25248.0,800000000000.0
